_product_id,_product_name,_product_desc,_category,_list_price
1305366041,Desk drawer slide tracks,Easy-glide metal rails for smooth opening,Components,9.99
1462793328,Expandable curtain rod for cabinets,Provides adjustable interior partitioning,Components,8.49
963510719,Plastic leveling foot pads,Balances uneven floors for stable furniture,Components,6.95
46414656,Accent table top replacement wood,Fresh surface reviving scratched finishes,Components,34.99
1122118115,Patio chair cushion ties,Ensures cushions remain securely in place,Components,4.99
1443232520,Headboard decorative finial set,Enhances bed frame’s stylish profile,Components,15.0
794008659,Drawer knob set ceramic,Charming vintage design adding subtle flair,Components,9.95
1151584239,Office desk cable grommet,Neat hole cover for wire organization,Components,3.99
1887614373,Glass shelf insert tempered,Sturdy replacement suitable for display cabinets,Components,20.0
1489002135,Chair seat wedge cushion,Improves posture reducing lower back strain,Components,18.99
1971491875,Storage bench hinge lock,Keeps lid open for safe access,Components,14.5
1778676687,Adhesive furniture bumper pads,Protects surfaces reducing noise or scratches,Components,5.99
2106990854,Chair caster socket insert,Secures replacement wheels for smooth rolling,Components,6.49
